cou:中国
pro:北京市,中国
cit:东城区,北京市,中国
cit:西城区,北京市,中国
cit:朝阳区,北京市,中国
cit:丰台区,北京市,中国
cit:石景山区,北京市,中国
cit:海淀区,北京市,中国
cit:门头沟区,北京市,中国
cit:房山区,北京市,中国
cit:通州区,北京市,中国
cit:顺义区,北京市,中国
cit:昌平区,北京市,中国
cit:大兴区,北京市,中国
cit:怀柔区,北京市,中国
cit:平谷区,北京市,中国
cit:密云县,北京市,中国
cit:延庆县,北京市,中国
pro:天津市,中国
cit:和平区,天津市,中国
cit:河东区,天津市,中国
cit:河西区,天津市,中国
cit:南开区,天津市,中国
cit:河北区,天津市,中国
cit:红桥区,天津市,中国
cit:东丽区,天津市,中国
cit:西青区,天津市,中国
cit:津南区,天津市,中国
cit:北辰区,天津市,中国
cit:武清区,天津市,中国
cit:宝坻区,天津市,中国
cit:滨海新区,天津市,中国
cit:宁河县,天津市,中国
cit:静海县,天津市,中国
cit:蓟县,天津市,中国
pro:河北省,中国
cit:石家庄市,河北省,中国
dis:朗县,林芝地区,西藏自治区,中国
pro:陕西省,中国
cit:西安市,陕西省,中国
dis:新城区,西安市,陕西省,中国
dis:碑林区,西安市,陕西省,中国
dis:莲湖区,西安市,陕西省,中国
dis:灞桥区,西安市,陕西省,中国
dis:未央区,西安市,陕西省,中国
dis:雁塔区,西安市,陕西省,中国
dis:阎良区,西安市,陕西省,中国
dis:临潼区,西安市,陕西省,中国
dis:长安区,西安市,陕西省,中国
dis:蓝田县,西安市,陕西省,中国
dis:周至县,西安市,陕西省,中国
dis:户县,西安市,陕西省,中国
dis:高陵区,西安市,陕西省,中国
cit:铜川市,陕西省,中国
dis:王益区,铜川市,陕西省,中国
dis:印台区,铜川市,陕西省,中国
dis:耀州区,铜川市,陕西省,中国
dis:宜君县,铜川市,陕西省,中国
cit:宝鸡市,陕西省,中国
dis:渭滨区,宝鸡市,陕西省,中国
dis:金台区,宝鸡市,陕西省,中国
dis:陈仓区,宝鸡市,陕西省,中国
dis:凤翔县,宝鸡市,陕西省,中国
dis:岐山县,宝鸡市,陕西省,中国
dis:扶风县,宝鸡市,陕西省,中国
dis:眉县,宝鸡市,陕西省,中国
dis:陇县,宝鸡市,陕西省,中国
dis:千阳县,宝鸡市,陕西省,中国
dis:麟游县,宝鸡市,陕西省,中国
dis:凤县,宝鸡市,陕西省,中国
dis:太白县,宝鸡市,陕西省,中国
cit:咸阳市,陕西省,中国
dis:秦都区,咸阳市,陕西省,中国
dis:杨陵区,咸阳市,陕西省,中国
dis:渭城区,咸阳市,陕西省,中国
dis:三原县,咸阳市,陕西省,中国
dis:泾阳县,咸阳市,陕西省,中国
dis:乾县,咸阳市,陕西省,中国
dis:礼泉县,咸阳市,陕西省,中国
dis:永寿县,咸阳市,陕西省,中国
dis:彬县,咸阳市,陕西省,中国
dis:长武县,咸阳市,陕西省,中国
dis:旬邑县,咸阳市,陕西省,中国
dis:淳化县,咸阳市,陕西省,中国
dis:武功县,咸阳市,陕西省,中国
dis:兴平市,咸阳市,陕西省,中国
cit:渭南市,陕西省,中国
dis:临渭区,渭南市,陕西省,中国
dis:华县,渭南市,陕西省,中国
dis:潼关县,渭南市,陕西省,中国
dis:大荔县,渭南市,陕西省,中国
dis:合阳县,渭南市,陕西省,中国
dis:澄城县,渭南市,陕西省,中国
dis:蒲城县,渭南市,陕西省,中国
dis:白水县,渭南市,陕西省,中国
dis:富平县,渭南市,陕西省,中国
dis:韩城市,渭南市,陕西省,中国
dis:华阴市,渭南市,陕西省,中国
cit:延安市,陕西省,中国
dis:宝塔区,延安市,陕西省,中国
dis:延长县,延安市,陕西省,中国
dis:延川县,延安市,陕西省,中国
dis:子长县,延安市,陕西省,中国
dis:安塞县,延安市,陕西省,中国
dis:志丹县,延安市,陕西省,中国
dis:吴起县,延安市,陕西省,中国
dis:甘泉县,延安市,陕西省,中国
dis:富县,延安市,陕西省,中国
dis:洛川县,延安市,陕西省,中国
dis:宜川县,延安市,陕西省,中国
dis:黄龙县,延安市,陕西省,中国
dis:黄陵县,延安市,陕西省,中国
cit:汉中市,陕西省,中国
dis:汉台区,汉中市,陕西省,中国
dis:南郑县,汉中市,陕西省,中国
dis:城固县,汉中市,陕西省,中国
dis:洋县,汉中市,陕西省,中国
dis:西乡县,汉中市,陕西省,中国
dis:勉县,汉中市,陕西省,中国
dis:宁强县,汉中市,陕西省,中国
dis:略阳县,汉中市,陕西省,中国
dis:镇巴县,汉中市,陕西省,中国
dis:留坝县,汉中市,陕西省,中国
dis:佛坪县,汉中市,陕西省,中国
cit:榆林市,陕西省,中国
dis:榆阳区,榆林市,陕西省,中国
dis:神木县,榆林市,陕西省,中国
dis:府谷县,榆林市,陕西省,中国
dis:横山县,榆林市,陕西省,中国
dis:靖边县,榆林市,陕西省,中国
dis:定边县,榆林市,陕西省,中国
dis:绥德县,榆林市,陕西省,中国
dis:米脂县,榆林市,陕西省,中国
dis:佳县,榆林市,陕西省,中国
dis:吴堡县,榆林市,陕西省,中国
dis:清涧县,榆林市,陕西省,中国
dis:子洲县,榆林市,陕西省,中国
cit:安康市,陕西省,中国
dis:汉滨区,安康市,陕西省,中国
dis:汉阴县,安康市,陕西省,中国
dis:石泉县,安康市,陕西省,中国
dis:宁陕县,安康市,陕西省,中国
dis:紫阳县,安康市,陕西省,中国
dis:岚皋县,安康市,陕西省,中国
dis:平利县,安康市,陕西省,中国
dis:镇坪县,安康市,陕西省,中国
dis:旬阳县,安康市,陕西省,中国
dis:白河县,安康市,陕西省,中国
cit:商洛市,陕西省,中国
dis:商州区,商洛市,陕西省,中国
dis:洛南县,商洛市,陕西省,中国
dis:丹凤县,商洛市,陕西省,中国
dis:商南县,商洛市,陕西省,中国
dis:山阳县,商洛市,陕西省,中国
dis:镇安县,商洛市,陕西省,中国
dis:柞水县,商洛市,陕西省,中国
pro:甘肃省,中国
cit:兰州市,甘肃省,中国
dis:城关区,兰州市,甘肃省,中国
dis:七里河区,兰州市,甘肃省,中国
dis:西固区,兰州市,甘肃省,中国
dis:安宁区,兰州市,甘肃省,中国
dis:红古区,兰州市,甘肃省,中国
dis:永登县,兰州市,甘肃省,中国
dis:皋兰县,兰州市,甘肃省,中国
dis:榆中县,兰州市,甘肃省,中国
cit:嘉峪关市,甘肃省,中国
cit:金昌市,甘肃省,中国
dis:金川区,金昌市,甘肃省,中国
dis:永昌县,金昌市,甘肃省,中国
cit:白银市,甘肃省,中国
dis:白银区,白银市,甘肃省,中国
dis:平川区,白银市,甘肃省,中国
dis:靖远县,白银市,甘肃省,中国
dis:会宁县,白银市,甘肃省,中国
dis:景泰县,白银市,甘肃省,中国
cit:天水市,甘肃省,中国
dis:秦州区,天水市,甘肃省,中国
dis:麦积区,天水市,甘肃省,中国
dis:清水县,天水市,甘肃省,中国
dis:秦安县,天水市,甘肃省,中国
dis:甘谷县,天水市,甘肃省,中国
dis:武山县,天水市,甘肃省,中国
dis:张家川回族自治县,天水市,甘肃省,中国
cit:武威市,甘肃省,中国
dis:凉州区,武威市,甘肃省,中国
dis:民勤县,武威市,甘肃省,中国
dis:古浪县,武威市,甘肃省,中国
dis:天祝藏族自治县,武威市,甘肃省,中国
cit:张掖市,甘肃省,中国
dis:甘州区,张掖市,甘肃省,中国
dis:肃南裕固族自治县,张掖市,甘肃省,中国
dis:民乐县,张掖市,甘肃省,中国
dis:临泽县,张掖市,甘肃省,中国
dis:高台县,张掖市,甘肃省,中国
dis:山丹县,张掖市,甘肃省,中国
cit:平凉市,甘肃省,中国
dis:崆峒区,平凉市,甘肃省,中国
dis:泾川县,平凉市,甘肃省,中国
dis:灵台县,平凉市,甘肃省,中国
dis:崇信县,平凉市,甘肃省,中国
dis:华亭县,平凉市,甘肃省,中国
dis:庄浪县,平凉市,甘肃省,中国
dis:静宁县,平凉市,甘肃省,中国
cit:酒泉市,甘肃省,中国
dis:肃州区,酒泉市,甘肃省,中国
dis:金塔县,酒泉市,甘肃省,中国
dis:瓜州县,酒泉市,甘肃省,中国
dis:肃北蒙古族自治县,酒泉市,甘肃省,中国
dis:阿克塞哈萨克族自治县,酒泉市,甘肃省,中国
dis:玉门市,酒泉市,甘肃省,中国
dis:敦煌市,酒泉市,甘肃省,中国
cit:庆阳市,甘肃省,中国
dis:西峰区,庆阳市,甘肃省,中国
dis:庆城县,庆阳市,甘肃省,中国
dis:环县,庆阳市,甘肃省,中国
dis:华池县,庆阳市,甘肃省,中国
dis:合水县,庆阳市,甘肃省,中国
dis:正宁县,庆阳市,甘肃省,中国
dis:宁县,庆阳市,甘肃省,中国
dis:镇原县,庆阳市,甘肃省,中国
cit:定西市,甘肃省,中国
dis:安定区,定西市,甘肃省,中国
dis:通渭县,定西市,甘肃省,中国
dis:陇西县,定西市,甘肃省,中国
dis:渭源县,定西市,甘肃省,中国
dis:临洮县,定西市,甘肃省,中国
dis:漳县,定西市,甘肃省,中国
dis:岷县,定西市,甘肃省,中国
cit:陇南市,甘肃省,中国
dis:武都区,陇南市,甘肃省,中国
dis:成县,陇南市,甘肃省,中国
dis:文县,陇南市,甘肃省,中国
dis:宕昌县,陇南市,甘肃省,中国
dis:康县,陇南市,甘肃省,中国
dis:西和县,陇南市,甘肃省,中国
dis:礼县,陇南市,甘肃省,中国
dis:徽县,陇南市,甘肃省,中国
dis:两当县,陇南市,甘肃省,中国
cit:临夏回族自治州,甘肃省,中国
dis:临夏市,临夏回族自治州,甘肃省,中国
dis:临夏县,临夏回族自治州,甘肃省,中国
dis:康乐县,临夏回族自治州,甘肃省,中国
dis:永靖县,临夏回族自治州,甘肃省,中国
dis:广河县,临夏回族自治州,甘肃省,中国
dis:和政县,临夏回族自治州,甘肃省,中国
dis:东乡族自治县,临夏回族自治州,甘肃省,中国
dis:积石山保安族东乡族撒拉族自治县,临夏回族自治州,甘肃省,中国
cit:甘南藏族自治州,甘肃省,中国
dis:合作市,甘南藏族自治州,甘肃省,中国
dis:临潭县,甘南藏族自治州,甘肃省,中国
dis:卓尼县,甘南藏族自治州,甘肃省,中国
dis:舟曲县,甘南藏族自治州,甘肃省,中国
dis:迭部县,甘南藏族自治州,甘肃省,中国
dis:玛曲县,甘南藏族自治州,甘肃省,中国
dis:碌曲县,甘南藏族自治州,甘肃省,中国
dis:夏河县,甘南藏族自治州,甘肃省,中国
pro:青海省,中国
cit:西宁市,青海省,中国
dis:城东区,西宁市,青海省,中国
dis:城中区,西宁市,青海省,中国
dis:城西区,西宁市,青海省,中国
dis:城北区,西宁市,青海省,中国
dis:大通回族土族自治县,西宁市,青海省,中国
dis:湟中县,西宁市,青海省,中国
dis:湟源县,西宁市,青海省,中国
cit:海东市,青海省,中国
dis:乐都区,海东市,青海省,中国
dis:平安县,海东市,青海省,中国
dis:民和回族土族自治县,海东市,青海省,中国
dis:互助土族自治县,海东市,青海省,中国
dis:化隆回族自治县,海东市,青海省,中国
dis:循化撒拉族自治县,海东市,青海省,中国
cit:海北藏族自治州,青海省,中国
dis:门源回族自治县,海北藏族自治州,青海省,中国
dis:祁连县,海北藏族自治州,青海省,中国
dis:海晏县,海北藏族自治州,青海省,中国
dis:刚察县,海北藏族自治州,青海省,中国
cit:黄南藏族自治州,青海省,中国
dis:同仁县,黄南藏族自治州,青海省,中国
dis:尖扎县,黄南藏族自治州,青海省,中国
dis:泽库县,黄南藏族自治州,青海省,中国
dis:河南蒙古族自治县,黄南藏族自治州,青海省,中国
cit:海南藏族自治州,青海省,中国
dis:共和县,海南藏族自治州,青海省,中国
dis:同德县,海南藏族自治州,青海省,中国
dis:贵德县,海南藏族自治州,青海省,中国
dis:兴海县,海南藏族自治州,青海省,中国
dis:贵南县,海南藏族自治州,青海省,中国
cit:果洛藏族自治州,青海省,中国
dis:玛沁县,果洛藏族自治州,青海省,中国
dis:班玛县,果洛藏族自治州,青海省,中国
dis:甘德县,果洛藏族自治州,青海省,中国
dis:达日县,果洛藏族自治州,青海省,中国
dis:久治县,果洛藏族自治州,青海省,中国
dis:玛多县,果洛藏族自治州,青海省,中国
cit:玉树藏族自治州,青海省,中国
dis:玉树市,玉树藏族自治州,青海省,中国
dis:杂多县,玉树藏族自治州,青海省,中国
dis:称多县,玉树藏族自治州,青海省,中国
dis:治多县,玉树藏族自治州,青海省,中国
dis:囊谦县,玉树藏族自治州,青海省,中国
dis:曲麻莱县,玉树藏族自治州,青海省,中国
cit:海西蒙古族藏族自治州,青海省,中国
dis:格尔木市,海西蒙古族藏族自治州,青海省,中国
dis:德令哈市,海西蒙古族藏族自治州,青海省,中国
dis:乌兰县,海西蒙古族藏族自治州,青海省,中国
dis:都兰县,海西蒙古族藏族自治州,青海省,中国
dis:天峻县,海西蒙古族藏族自治州,青海省,中国
pro:宁夏回族自治区,中国
cit:银川市,宁夏回族自治区,中国
dis:兴庆区,银川市,宁夏回族自治区,中国
dis:西夏区,银川市,宁夏回族自治区,中国
dis:金凤区,银川市,宁夏回族自治区,中国
dis:永宁县,银川市,宁夏回族自治区,中国
dis:贺兰县,银川市,宁夏回族自治区,中国
dis:灵武市,银川市,宁夏回族自治区,中国
cit:石嘴山市,宁夏回族自治区,中国
dis:大武口区,石嘴山市,宁夏回族自治区,中国
dis:惠农区,石嘴山市,宁夏回族自治区,中国
dis:平罗县,石嘴山市,宁夏回族自治区,中国
cit:吴忠市,宁夏回族自治区,中国
dis:利通区,吴忠市,宁夏回族自治区,中国
dis:红寺堡区,吴忠市,宁夏回族自治区,中国
dis:盐池县,吴忠市,宁夏回族自治区,中国
dis:同心县,吴忠市,宁夏回族自治区,中国
dis:青铜峡市,吴忠市,宁夏回族自治区,中国
cit:固原市,宁夏回族自治区,中国
dis:原州区,固原市,宁夏回族自治区,中国
dis:西吉县,固原市,宁夏回族自治区,中国
dis:隆德县,固原市,宁夏回族自治区,中国
dis:泾源县,固原市,宁夏回族自治区,中国
dis:彭阳县,固原市,宁夏回族自治区,中国
cit:中卫市,宁夏回族自治区,中国
dis:沙坡头区,中卫市,宁夏回族自治区,中国
dis:中宁县,中卫市,宁夏回族自治区,中国
dis:海原县,中卫市,宁夏回族自治区,中国
pro:新疆维吾尔自治区,中国
cit:乌鲁木齐市,新疆维吾尔自治区,中国
dis:天山区,乌鲁木齐市,新疆维吾尔自治区,中国
dis:沙依巴克区,乌鲁木齐市,新疆维吾尔自治区,中国
dis:新市区,乌鲁木齐市,新疆维吾尔自治区,中国
dis:水磨沟区,乌鲁木齐市,新疆维吾尔自治区,中国
dis:头屯河区,乌鲁木齐市,新疆维吾尔自治区,中国
dis:达坂城区,乌鲁木齐市,新疆维吾尔自治区,中国
dis:米东区,乌鲁木齐市,新疆维吾尔自治区,中国
dis:乌鲁木齐县,乌鲁木齐市,新疆维吾尔自治区,中国
cit:克拉玛依市,新疆维吾尔自治区,中国
dis:独山子区,克拉玛依市,新疆维吾尔自治区,中国
dis:克拉玛依区,克拉玛依市,新疆维吾尔自治区,中国
dis:白碱滩区,克拉玛依市,新疆维吾尔自治区,中国
dis:乌尔禾区,克拉玛依市,新疆维吾尔自治区,中国
cit:吐鲁番市,新疆维吾尔自治区,中国
dis:吐鲁番市,吐鲁番市,新疆维吾尔自治区,中国
dis:鄯善县,吐鲁番市,新疆维吾尔自治区,中国
dis:托克逊县,吐鲁番市,新疆维吾尔自治区,中国
cit:哈密地区,新疆维吾尔自治区,中国
dis:哈密市,哈密地区,新疆维吾尔自治区,中国
dis:巴里坤哈萨克自治县,哈密地区,新疆维吾尔自治区,中国
dis:伊吾县,哈密地区,新疆维吾尔自治区,中国
cit:昌吉回族自治州,新疆维吾尔自治区,中国
dis:昌吉市,昌吉回族自治州,新疆维吾尔自治区,中国
dis:阜康市,昌吉回族自治州,新疆维吾尔自治区,中国
dis:呼图壁县,昌吉回族自治州,新疆维吾尔自治区,中国
dis:玛纳斯县,昌吉回族自治州,新疆维吾尔自治区,中国
dis:奇台县,昌吉回族自治州,新疆维吾尔自治区,中国
dis:吉木萨尔县,昌吉回族自治州,新疆维吾尔自治区,中国
dis:木垒哈萨克自治县,昌吉回族自治州,新疆维吾尔自治区,中国
cit:博尔塔拉蒙古自治州,新疆维吾尔自治区,中国
dis:博乐市,博尔塔拉蒙古自治州,新疆维吾尔自治区,中国
dis:阿拉山口市,博尔塔拉蒙古自治州,新疆维吾尔自治区,中国
dis:精河县,博尔塔拉蒙古自治州,新疆维吾尔自治区,中国
dis:温泉县,博尔塔拉蒙古自治州,新疆维吾尔自治区,中国
cit:巴音郭楞蒙古自治州,新疆维吾尔自治区,中国
dis:库尔勒市,巴音郭楞蒙古自治州,新疆维吾尔自治区,中国
dis:轮台县,巴音郭楞蒙古自治州,新疆维吾尔自治区,中国
dis:尉犁县,巴音郭楞蒙古自治州,新疆维吾尔自治区,中国
dis:若羌县,巴音郭楞蒙古自治州,新疆维吾尔自治区,中国
dis:且末县,巴音郭楞蒙古自治州,新疆维吾尔自治区,中国
dis:焉耆回族自治县,巴音郭楞蒙古自治州,新疆维吾尔自治区,中国
dis:和静县,巴音郭楞蒙古自治州,新疆维吾尔自治区,中国
dis:和硕县,巴音郭楞蒙古自治州,新疆维吾尔自治区,中国
dis:博湖县,巴音郭楞蒙古自治州,新疆维吾尔自治区,中国
cit:阿克苏地区,新疆维吾尔自治区,中国
dis:阿克苏市,阿克苏地区,新疆维吾尔自治区,中国
dis:温宿县,阿克苏地区,新疆维吾尔自治区,中国
dis:库车县,阿克苏地区,新疆维吾尔自治区,中国
dis:沙雅县,阿克苏地区,新疆维吾尔自治区,中国
dis:新和县,阿克苏地区,新疆维吾尔自治区,中国
dis:拜城县,阿克苏地区,新疆维吾尔自治区,中国
dis:乌什县,阿克苏地区,新疆维吾尔自治区,中国
dis:阿瓦提县,阿克苏地区,新疆维吾尔自治区,中国
dis:柯坪县,阿克苏地区,新疆维吾尔自治区,中国
cit:克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,中国
dis:阿图什市,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,中国
dis:阿克陶县,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,中国
dis:阿合奇县,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,中国
dis:乌恰县,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,中国
cit:喀什地区,新疆维吾尔自治区,中国
dis:喀什市,喀什地区,新疆维吾尔自治区,中国
dis:疏附县,喀什地区,新疆维吾尔自治区,中国
dis:疏勒县,喀什地区,新疆维吾尔自治区,中国
dis:英吉沙县,喀什地区,新疆维吾尔自治区,中国
dis:泽普县,喀什地区,新疆维吾尔自治区,中国
dis:莎车县,喀什地区,新疆维吾尔自治区,中国
dis:叶城县,喀什地区,新疆维吾尔自治区,中国
dis:麦盖提县,喀什地区,新疆维吾尔自治区,中国
dis:岳普湖县,喀什地区,新疆维吾尔自治区,中国
dis:伽师县,喀什地区,新疆维吾尔自治区,中国
dis:巴楚县,喀什地区,新疆维吾尔自治区,中国
dis:塔什库尔干塔吉克自治县,喀什地区,新疆维吾尔自治区,中国
cit:和田地区,新疆维吾尔自治区,中国
dis:和田市,和田地区,新疆维吾尔自治区,中国
dis:和田县,和田地区,新疆维吾尔自治区,中国
dis:墨玉县,和田地区,新疆维吾尔自治区,中国
dis:皮山县,和田地区,新疆维吾尔自治区,中国
dis:洛浦县,和田地区,新疆维吾尔自治区,中国
dis:策勒县,和田地区,新疆维吾尔自治区,中国
dis:于田县,和田地区,新疆维吾尔自治区,中国
dis:民丰县,和田地区,新疆维吾尔自治区,中国
cit:伊犁哈萨克自治州,新疆维吾尔自治区,中国
dis:伊宁市,伊犁哈萨克自治州,新疆维吾尔自治区,中国
dis:奎屯市,伊犁哈萨克自治州,新疆维吾尔自治区,中国
dis:伊宁县,伊犁哈萨克自治州,新疆维吾尔自治区,中国
dis:察布查尔锡伯自治县,伊犁哈萨克自治州,新疆维吾尔自治区,中国
dis:霍城县,伊犁哈萨克自治州,新疆维吾尔自治区,中国
dis:巩留县,伊犁哈萨克自治州,新疆维吾尔自治区,中国
dis:新源县,伊犁哈萨克自治州,新疆维吾尔自治区,中国
dis:昭苏县,伊犁哈萨克自治州,新疆维吾尔自治区,中国
dis:特克斯县,伊犁哈萨克自治州,新疆维吾尔自治区,中国
dis:尼勒克县,伊犁哈萨克自治州,新疆维吾尔自治区,中国
cit:塔城地区,新疆维吾尔自治区,中国
dis:塔城市,塔城地区,新疆维吾尔自治区,中国
dis:乌苏市,塔城地区,新疆维吾尔自治区,中国
dis:额敏县,塔城地区,新疆维吾尔自治区,中国
dis:沙湾县,塔城地区,新疆维吾尔自治区,中国
dis:托里县,塔城地区,新疆维吾尔自治区,中国
dis:裕民县,塔城地区,新疆维吾尔自治区,中国
dis:和布克赛尔蒙古自治县,塔城地区,新疆维吾尔自治区,中国
cit:阿勒泰地区,新疆维吾尔自治区,中国
dis:阿勒泰市,阿勒泰地区,新疆维吾尔自治区,中国
dis:布尔津县,阿勒泰地区,新疆维吾尔自治区,中国
dis:富蕴县,阿勒泰地区,新疆维吾尔自治区,中国
dis:福海县,阿勒泰地区,新疆维吾尔自治区,中国
dis:哈巴河县,阿勒泰地区,新疆维吾尔自治区,中国
dis:青河县,阿勒泰地区,新疆维吾尔自治区,中国
dis:吉木乃县,阿勒泰地区,新疆维吾尔自治区,中国
cit:石河子市,新疆维吾尔自治区,中国
cit:阿拉尔市,新疆维吾尔自治区,中国
cit:图木舒克市,新疆维吾尔自治区,中国
cit:五家渠市,新疆维吾尔自治区,中国
pro:香港特别行政区,中国
cit:中西区,香港特别行政区,中国
cit:湾仔区,香港特别行政区,中国
cit:东区,香港特别行政区,中国
cit:南区,香港特别行政区,中国
cit:油尖旺区,香港特别行政区,中国
cit:深水埗区,香港特别行政区,中国
cit:九龙城区,香港特别行政区,中国
cit:黄大仙区,香港特别行政区,中国
cit:观塘区,香港特别行政区,中国
cit:葵青区,香港特别行政区,中国
cit:荃湾区,香港特别行政区,中国
cit:屯门区,香港特别行政区,中国
cit:元朗区,香港特别行政区,中国
cit:北区,香港特别行政区,中国
cit:大埔区,香港特别行政区,中国
cit:沙田区,香港特别行政区,中国
cit:西贡区,香港特别行政区,中国
cit:离岛区,香港特别行政区,中国
pro:澳门特别行政区,中国
cit:花地玛堂区,澳门特别行政区,中国
cit:圣安多尼堂区,澳门特别行政区,中国
cit:大堂区,澳门特别行政区,中国
cit:望德堂区,澳门特别行政区,中国
cit:风顺堂区,澳门特别行政区,中国
cit:嘉模堂区,澳门特别行政区,中国
cit:圣方济各堂区,澳门特别行政区,中国
cit:路氹城,澳门特别行政区,中国
pro:台湾,中国
cit:台北市,台湾,中国
cit:新北市,台湾,中国
cit:桃园市,台湾,中国
cit:台中市,台湾,中国
cit:台南市,台湾,中国
cit:高雄市,台湾,中国
cit:基隆市,台湾,中国
cit:新竹市,台湾,中国
cit:嘉义市,台湾,中国
cit:新竹县,台湾,中国
cit:苗栗县,台湾,中国
cit:彰化县,台湾,中国
cit:南投县,台湾,中国
cit:云林县,台湾,中国
cit:嘉义县,台湾,中国
cit:屏东县,台湾,中国
cit:宜兰县,台湾,中国
cit:花莲县,台湾,中国
cit:台东县,台湾,中国
cit:澎湖县,台湾,中国
cit:金门县,台湾,中国
cit:连江县,台湾,中国
cou:阿尔巴尼亚
pro:爱尔巴桑,阿尔巴尼亚
pro:迪勃拉,阿尔巴尼亚
pro:地拉那,阿尔巴尼亚
pro:都拉斯,阿尔巴尼亚
pro:发罗拉,阿尔巴尼亚
pro:费里,阿尔巴尼亚
pro:吉诺卡斯特,阿尔巴尼亚
pro:科尔察,阿尔巴尼亚
pro:库克斯,阿尔巴尼亚
pro:莱什,阿尔巴尼亚
pro:培拉特,阿尔巴尼亚
pro:斯库台,阿尔巴尼亚
cou:阿尔及利亚
pro:阿德拉尔,阿尔及利亚
pro:阿尔及尔,阿尔及利亚
pro:艾因·德夫拉,阿尔及利亚
pro:艾因·蒂姆尚特,阿尔及利亚
pro:安纳巴,阿尔及利亚
pro:奥兰,阿尔及利亚
pro:巴特纳,阿尔及利亚
pro:贝贾亚,阿尔及利亚
pro:贝沙尔,阿尔及利亚
pro:贝伊德,阿尔及利亚
pro:比斯克拉,阿尔及利亚
pro:布尔吉·布阿雷里吉,阿尔及利亚
pro:布利达,阿尔及利亚
pro:布迈德斯,阿尔及利亚
pro:布依拉,阿尔及利亚
pro:蒂巴扎,阿尔及利亚
pro:蒂斯姆西勒特,阿尔及利亚
pro:盖尔达耶,阿尔及利亚
pro:盖尔马,阿尔及利亚
pro:罕西拉,阿尔及利亚
pro:赫利赞,阿尔及利亚
pro:吉杰尔,阿尔及利亚
pro:杰勒法,阿尔及利亚
pro:君士坦丁,阿尔及利亚
pro:拉格瓦特,阿尔及利亚
pro:马斯卡拉,阿尔及利亚
pro:麦迪亚,阿尔及利亚
pro:密拉,阿尔及利亚
pro:莫斯塔加纳姆,阿尔及利亚
pro:姆西拉,阿尔及利亚
pro:纳阿马,阿尔及利亚
pro:塞蒂夫,阿尔及利亚
pro:赛伊达,阿尔及利亚
pro:斯基克达,阿尔及利亚
pro:苏克·阿赫拉斯,阿尔及利亚
pro:塔里夫,阿尔及利亚
pro:塔曼拉塞特,阿尔及利亚
pro:特贝萨,阿尔及利亚
pro:特莱姆森,阿尔及利亚
pro:提济乌祖,阿尔及利亚
pro:提亚雷特,阿尔及利亚
pro:廷杜夫,阿尔及利亚
pro:瓦德,阿尔及利亚
pro:瓦尔格拉,阿尔及利亚
pro:乌姆布阿基,阿尔及利亚
pro:西迪贝勒阿贝斯,阿尔及利亚
pro:谢里夫,阿尔及利亚
pro:伊利齐,阿尔及利亚
cou:阿富汗
pro:赫拉特,阿富汗
pro:喀布尔,阿富汗
pro:坎大哈,阿富汗
pro:马扎里沙里夫,阿富汗
cou:阿根廷
pro:巴拉那,阿根廷
pro:别德马,阿根廷
pro:波萨达斯,阿根廷
pro:布兰卡港,阿根廷
pro:布宜诺斯艾利斯,阿根廷
pro:福莫萨,阿根廷
pro:胡胡伊,阿根廷
pro:卡塔马卡,阿根廷
pro:科尔多瓦,阿根廷
pro:科连特斯,阿根廷
pro:克劳斯城,阿根廷
pro:肯考迪娅,阿根廷
pro:拉里奥哈,阿根廷
pro:拉普拉塔,阿根廷
pro:雷西斯滕匹亚,阿根廷
pro:里奥加耶戈斯,阿根廷
pro:里奥夸尔托,阿根廷
pro:里瓦达维亚海军准将城,阿根廷
pro:罗萨里奥,阿根廷
pro:罗森,阿根廷
pro:马德普拉塔,阿根廷
pro:门多萨,阿根廷
pro:内乌肯,阿根廷
pro:萨尔塔,阿根廷
pro:圣地亚哥-德尔埃斯特罗,阿根廷
pro:圣菲,阿根廷
pro:圣胡安,阿根廷
pro:圣拉斐尔,阿根廷
pro:圣路易斯,阿根廷
pro:圣罗莎,阿根廷
pro:圣米格尔-德图库曼,阿根廷
pro:圣尼古拉斯,阿根廷
pro:特雷利乌,阿根廷
pro:乌斯怀亚,阿根廷
cou:阿拉伯联合酋长国
pro:阿布扎比,阿拉伯联合酋长国
pro:艾因,阿拉伯联合酋长国
pro:迪拜,阿拉伯联合酋长国
pro:沙迦,阿拉伯联合酋长国
cou:阿鲁巴
cou:阿曼
pro:巴提奈地区,阿曼
pro:达希莱地区,阿曼
pro:东部地区,阿曼
pro:马斯喀特省,阿曼
pro:穆桑达姆省,阿曼
pro:内地地区,阿曼
pro:中部地区,阿曼
pro:佐法尔省,阿曼
cou:阿塞拜疆
pro:阿布歇隆,阿塞拜疆
pro:哈奇马斯,阿塞拜疆
pro:卡尔巴卡尔,阿塞拜疆
pro:卡扎赫,阿塞拜疆
pro:连科兰,阿塞拜疆
pro:密尔-卡拉巴赫,阿塞拜疆
pro:穆甘-萨连,阿塞拜疆
